stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,0,0,6,0,1,0,0,0,2,1,2,14,0,16,809,1,0,0,0,0,1,0,0
72hpf,0.85,0.85,0,1.13,1.97,0,0,0,0,0.28,2.82,0,1.97,0,97.24,89.35,2.54,0,0,2.25,0.28,0,0,0
21Day,0.37,0,0.37,1.11,0.37,0,0,0.37,0.37,0,0.37,0,0.74,0.37,18.13,17.76,0,2.59,0,1.48,0.37,0,0,0
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0
