stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,1,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.56,0,0.28,0,0.28,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,1.64,0.14,0,0.14,0,0,0,0.96
