stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0.28,0.85,0,0,0,0,0,0,2.82,0,0,0.85,0.56,3.38,0,0.28,0,0
21Day,1.85,0.37,0.37,0,0,0,0,0.37,5.18,0,0,1.11,0.74,0.74,0.37,0,0.74,0
3Month,0,0.42,0.31,0,0.1,0.21,0.1,0,0.31,0.42,0.1,0,0,0,0,0,0,0.94
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
