stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,1.13,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0.37
3Month,0.1,0.31,3.12,0.83,0.73,2.91,0.73,0.1,1.46,0.52,1.04,1.14,0.21,0.31,0.1,0,0.1,0.21,0,0,1.04,0.1,94.24,0.1,0.1,0.21,39.84,0.73
22Month,0,0.27,0.55,0.27,0,3.28,0,0,0.82,0,0.14,0.27,0,0,0.14,0,0,0,0.27,0,0.14,0,24.05,0,0,0,0.14,0
