stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0,4.51,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,0.74,0.37,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0,0,2.96,0.74,0,0.37,0,0,0.37,0.37,0,0,0,0.37
3Month,0,0.21,0.1,1.14,0,0.42,0,1.04,0.21,0.1,0.73,0.1,0.21,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0,0.31,19.56,0.1,0,0.31,20.39,0.52
22Month,0,0.14,0,0,0,0,0.14,7.52,0,0,0.68,0,0,0.27,0.14,0,0.27,0,0,0,0.14,0,0,0,0.82,0.14,0.14,0,0,0.41
