stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,3.7,1.48,0,0,33.3,0,0.37,65.86,0,0.37,0.37,0.74,0.37,1.11,0,0,0,1.48,1.85,0,0,0,0,0,0,0.37,0.37,0,0,0,0.37
3Month,0.21,0.62,1.25,11.55,0,0.1,0.21,252.35,4.58,8.84,110.67,0.21,8.53,1.14,2.81,1.25,2.5,1.14,0.73,1.14,0.1,0,0.42,0.21,1.25,0.52,1.98,0.21,0,0,0.1,0.83,3.22,1.14
22Month,0,0.41,0.14,3.55,0,0,0,54.93,1.37,8.47,52.75,0,3.83,0,0.27,0.96,0.55,0,0.55,0,0,0,0.14,0,0.14,0,0.14,0.27,0,0,0,0,0,0.41
