stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0
21Day,0.74,0,0,0,0.37,0.37,0.37,1.11,0,0.74
3Month,0.21,0,0,0.1,0,0,0.21,0,0.1,0
22Month,0,0.14,0.55,0,0,0,0.14,0,0,0
