stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,2.59,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0.37,2.96,0,0.37,1.11,0.74,0.74,0,0,0,0,0
3Month,0.21,0.21,5.62,0.1,0,0.21,0,1.25,0.21,0,3.54,0.21,3.54,0,3.22,0.31,1.35,0.1,0,0,0,0,0,0.42,0.21,0.31,0.21,0,0.1,0.31,0.1
22Month,0.27,0.27,3.14,0,0,0.14,0.27,0.27,0.41,0.27,12.3,0.55,4.24,0,0.96,1.23,1.23,0,0.96,0,0,0,0.27,0,0,0.14,0.27,0.27,0,0,0.41
