stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0.28,0.56,0,0,0.28,0,0,0,0
21Day,0,8.51,0.37,0,0,0,0,0,0.37,0,0,6.66,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37
3Month,0.1,37.55,0,0.1,0.1,0.62,1.35,0.83,0.1,1.14,0.42,18.93,0.52,0.31,0.21,0,0.1,0.1,0,0,0.1,0,0.73,0.42,0.31,0.21
22Month,0,10.25,0,0,0.55,0.14,1.09,0,0,0.41,0.27,4.51,0.27,0.27,0,0.14,0,0,0,0.14,0.14,0,0,1.23,0,0.27
