stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,3.33,0,0,0
3Month,0,0.42,0,3.22,0.1,0,0.1,0.31,0.83,4.58,0.94,0,1.87,0.21,0.94,0.83,0.73,0.1,0.42,0.42,0.21,0,0.1,0.21,0.21,0.94,54.3,0.21,128.57,0.21
22Month,0,0.14,0.14,0.14,0,0,0,0,0,0.82,0,0.14,0.82,0,0,0.27,0.14,0,0,0,0.14,0,0,0,0,0,14.76,0,0.14,0.14
