stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0,2.25,1.13,0.28,0,0.56,0.28,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0,0,0,0,0.74,0,0.74,0.37,0.74,0,0,0,0,0,0
3Month,0,0,0.42,0,0.42,0,0.73,0.21,0.31,0.1,1.04,0.1,0.1,0,0,0,0.83,0,0,0.21,0.1,0.62
22Month,0,0,0.14,0,0,0.41,0,0,0.27,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.27
