stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,1.77,0.1,1.14,0.1,1.46,0.1,0.1,5.3,0,0.21,1.25,0,0.73,0.1,0,0.1,0,0.21,0.1,0.31,0.21
22Month,0.27,0.27,0.96,0,0.14,0.82,6.83,0,0.14,2.05,0.14,0,1.23,0.41,0.14,0,0,0.14,0.14,0.27,0,0,0.27
