stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.52,0.1,0,3.95,0.21,0,0.83,0.21,0.1,0.1,0.21,0,0.52,0,0,0,0.21,0.1,0
22Month,0,0,0.41,0,0.14,2.87,0.14,0.14,0.14,0.27,0.27,0.27,0,0.14,0,0.14,13.12,0.14,0,0.14,0.14
