stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,1.41,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0.37,1.11,0.37,0.37,0,0.37,0,0
3Month,0,0,0.21,0.73,0.1,0.31,0.21,0,0.1,0,0,0,0,0.31,0,0.42,0.1
22Month,0.14,0.14,0,0.82,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0
