stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,3,57,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,2.82,0,0.28,12.12,9.02,0,0,2.54,0,0,1.69,0,0.56,0.28,0,0,0
21Day,0.74,0.37,0.37,4.81,0.74,2.22,0,0.74,0,0,0,0.37,0,0.37,0,0.37,1.11,0.74,4.07,0,0.74,8.51,3.33,0.37,0.37,1.85,0.74,0,0.74,0.37,0,0,0,0,0.37
3Month,0,0.42,0,1.14,0,0,0,0.1,0,0.42,0,0.94,0.1,0,0.42,0.31,0.83,0.52,0.52,0.21,0.1,0.31,0,0.21,0.1,0,0.1,1.25,0,0.1,0,0,0.52,0.1,0
22Month,0,0.55,0,0.41,0,0,0.27,0,0.27,0.68,0.27,2.32,0.14,0,0.41,0,0,0.41,0.27,0,0.14,0,0,0.14,0,0,0,0,0.41,0,0,0,0,0,0.14
