stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0
21Day,0,0.37,1.48,0,0,0,0,0.37,0.37,1.85,0,0,0,0,1.11,0,0,0
3Month,0.1,0.1,1.66,0.1,0.42,0.1,0.21,0.1,0,0.21,0.1,0.1,0,0,0,0.1,2.18,0.21
22Month,0,0.14,0.14,0,0,0.27,0.14,0,0.14,0,0.14,0,0,0,0,0,0.68,0
