stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,9,0,0,0,0,0,0,2,25,0,0,0,2,0,0,0,0,0
72hpf,1.13,0,0,1.97,0.28,3.66,0,0.28,0,0,0,0,0,0,0,0,0.56,8.74,0.56,1.13,0,0.28,0.56,0,5.92,3.38,0,0,0,2.82,0,0,0.28,0,0
21Day,0.37,0.37,0,3.33,0,0.74,0,0.37,0,0.37,0,0,5.55,0,0,0.74,0,1.48,0.74,3.33,0,0.37,0.74,0,2.22,1.85,0.37,0.37,0,0.37,0,0,0.74,0,0.37
3Month,0.1,0.31,0.52,5.72,0,0,0,0,6.66,0.42,0,0,22.26,0.94,0.1,7.8,0,0.62,1.35,1.46,0.42,0.1,0.62,0.1,0.42,0,0.83,0.1,0,0.1,0.94,7.49,0.1,4.47,1.14
22Month,0.14,0.41,0.41,2.73,0.14,0,0.14,0,3.55,0.68,0.55,0,36.08,0.41,0,9.57,0,0.68,1.64,1.5,0,0.68,0.82,0,0.41,0,0.27,0.14,0.14,0.14,0,1.91,0,0,0.14
