stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,3,59,0,0,2,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0.56,0,0,0,0,0,0.28,0,0.28,1.97,0,3.1,0,0.56,0.28,0.28,18.04,12.4,0,0,3.1,0,0,1.13,0,0,0,0
21Day,1.48,0,0.37,1.11,1.11,0,0,0,0,0.37,0.74,0.74,0,0.37,0.37,4.07,0,0,0.37,0,6.29,5.92,0,0,0.74,1.11,0,1.11,0.37,0,0,0.74
3Month,0,0.1,0,1.46,0,0.1,0.1,0.31,2.29,0.1,0,0.42,0.21,0.52,0.1,0.73,0.1,0,0.21,0.1,0,0,0.1,0,0,0.21,0.73,0,0,0.1,17.27,0.21
22Month,0,0.27,0,0.27,0,0,0,0,2.32,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
