stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,12.97,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0,1.13,0,2.54,0,0,0,0,0.85,1.69,0,0,0.85,0,0,0,0,0,0,0
21Day,0.37,27.38,0.74,0.74,1.85,0,0,0,0,0,0,0.74,0,0.37,0,0.37,0,0.37,1.48,0,0,0,0,1.48,1.48,0,0,0.37,0.74,0,0,0.37,0,0,0
3Month,0.1,122.74,0.42,5.2,0,0,0.1,0.1,0.73,2.5,0,9.36,3.33,0.1,4.16,2.6,3.54,1.66,3.74,0.62,0,0.94,0.73,0.42,0.1,0.52,0.42,0.1,1.77,0.1,3.64,0.21,3.85,1.35,2.08
22Month,0.27,129,0.14,2.87,0,0.27,0.14,0,0.14,2.73,0.41,24.32,0.96,0.41,2.87,0.96,0.55,0.96,2.19,0,0.96,0.27,0.14,0.41,0,0.55,0.41,0.14,0.14,0,1.23,0,0.41,0,0.27
