stage,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0
21Day,0,0.37,0,0,0,0,0,0,0,8.14,0,0,0.74,0,0
3Month,0,0.21,0,0,0,0,0.1,0,0.1,1.04,0.1,0,0,0.21,0
22Month,0.27,0,0.14,0.14,0.14,0.96,0,0.27,0,0.96,0,0.14,0,0.55,0.14
