stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0.74,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,2.22
3Month,0.1,0,0.31,2.18,0.42,0.1,0,0.1,0.94,0,5.51,1.56,0.1,1.14,0.21,0.52,0.94,0.73,0.21,0,0.42,0.31,0.1,0.21,0.1,0,0,0.62,0.52,0.1,0,0,0.31,0.1,3.54
22Month,0.14,2.32,1.5,5.88,0.68,0.14,0.14,0.55,3.83,2.87,37.44,1.09,0.41,7.38,0.14,0.68,3.96,6.01,0,2.87,1.09,0,0.14,1.23,1.09,0.68,0.14,0.41,0,0.55,0.27,0.14,0.14,0,5.19
