stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0.56,0,0,0,0,0,0,0,0,0,1.13,0,1.97,0,0,0,0,41.15,3.38,0,0.56,1.41,0,0,4.79,0,0.28,0,0,0
21Day,0,0.37,0,0.37,0.74,0,0,0,0,0,0,0.74,0,0,0.74,0.37,4.44,0,0,0,0,24.05,2.96,0.37,0.74,0.37,1.48,0,2.96,0,0,0,0,0.74
3Month,0,0.21,0,3.02,0,0.1,0.1,1.04,0,3.54,0.94,0,1.35,0.31,0.52,0.62,1.77,0.21,0.1,0.1,0.1,0,0.1,0.31,0,0,0.42,0.62,0.1,0,0,0.21,0.21,0.83
22Month,0,0.41,0.14,1.23,0,0.27,0,1.78,0.41,8.75,0.41,0.14,3.42,0,0.41,0.96,1.91,0,0.14,0.14,0,0.14,0.14,0,0.14,0.14,0,0.14,0.27,0.27,0,0,0,0.27
