stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0.28,0.56,0,0.56,0,0,1.13,1.41,0,0,0.56,0,2.54,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0.74,0,0.74,0.74,1.48,0,0,0,0,1.48,0,1.48,0,0
3Month,0.83,0.1,0.42,0,0.1,0.73,0.1,0.1,0,0,0.21,0.1,0,0,0,0.1,0.1,0,0.62,0.1,0,0,0,0.62
22Month,0.14,0,0.14,0,0.27,1.5,0.27,0,0.14,0.55,0.14,0,0.14,0,0,0.14,0,0,0,0,0.14,0,0.41,0
