stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,2.82,0.56,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0.37,0,1.85,0,0,0,0,0
3Month,0,0.1,0,0.1,0.21,0,0,0.21,0.21,0,0,0.1,0,0,0,0.1,0,0.1
22Month,0,0,0,0.14,2.32,0.27,0.27,0,0,0.14,0.14,0,0,0,0,0,0,0
