stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,1.13,0.85,0,2.82,0,0,0,0,2.54,1.13,0,0,5.64,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,2.59,0.74,0.37,15.17,0,0,0,0,1.48,0.37,0.37,0,3.7,0,0,0,0
3Month,0,0,2.6,0.1,0,0,0.1,0.21,0.31,0,3.02,0.1,0,0.31,1.25,0.52,0.1,2.39,0.52,0,0.31,0.1,0.21,0,0.1,0.1,0.1,0.31,0.21,0.1,0.21
22Month,0.27,0.14,1.23,0,0,0.14,0,0.14,0.14,0.55,6.15,0.27,0.14,0.41,0.27,0.41,0.68,2.87,0.14,0.14,0,0.14,0,0.14,0.27,0,0,0,0,0,0.14
