stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,4,0,0,0,2,19,0,0,0,3,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,0.85,1.97,0,0.28,0,0,0,0,0,0.28,0,0,1.41,2.54,1.13,0,0,0,9.3,3.1,0.28,0,0,1.13,0,0,0.28,0,0,0.28,0,0,0
21Day,1.48,0,0,4.07,7.77,0,3.33,0,1.48,0,1.11,3.33,17.39,0.74,0.37,2.59,29.6,5.18,0,1.11,0,5.92,2.96,0.74,0.74,0,0.74,1.85,0.74,1.85,0.37,0.37,0,0,0,3.7
3Month,0.1,0.52,0.1,7.8,0,0.42,2.29,0.21,9.88,0,2.7,29.44,4.16,1.35,0.73,0.83,66.26,2.6,0.42,0.94,0.42,1.14,0.1,1.77,0.1,0,0.1,0.73,23.4,0.1,0,0,0,0.42,1.77,14.35
22Month,0.14,0.27,0.41,2.19,0,0.14,3.01,1.09,26.78,1.5,4.92,19.81,9.02,3.42,0,0.14,104.54,1.78,0,0.82,0.14,2.46,0,1.09,0.55,0.14,0,0.14,4.92,0.55,0,0,0,0,0.14,7.79
