stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,1.41,0.28,0,0,0,0,0,0.28,0,0.28,1.13,1.97,1.13,0,0,64.54,3.95,0,0,1.69,0,0,1.41,0.28,0,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0,0,0,0,0,0,1.85,2.96,0.37,0,0,21.09,1.85,0.37,0.37,1.11,0.37,0.37,0.74,0.37,0,0,0,0
3Month,0.1,0.1,0.62,0.1,0,0.1,0.1,0,1.25,0.1,0.31,0.94,0.1,0.21,3.43,0,0,0.42,0.62,0.1,0.73,0,0,0,1.56,0,0,0,0.1,0.62,0.1
22Month,0,0,0.55,0.14,0,0,0.41,0.27,2.73,0.14,0.14,0.96,0.14,0.14,2.32,0.68,0.14,0.14,0.41,0,0.68,0,0,0,0.68,0,0,0,0,0,0.14
