stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0.56,1.13,0,2.25,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0
21Day,0,0,4.44,0,6.29,0,2.96,0,1.48,0,0,0,5.92,0,2.22,1.11,9.99,4.07,0,0,0.74,0,7.03,0.37,0,0.74,0,0.37,0,0,2.96
3Month,0.1,0.62,6.35,0.1,0,0.31,0.52,0.21,6.45,0,2.81,6.03,1.46,0.21,0.52,2.81,13,0.94,0.1,0,0.62,2.5,0.31,0,0.31,0.21,0.42,0,0.21,0.52,9.36
22Month,0,0.55,4.24,0,0,0.14,0.27,0.14,9.16,1.64,4.24,5.06,2.05,0.41,0.14,1.23,8.61,1.23,0,0.27,0.96,0.27,0,0,0.14,0.27,0.14,0,0,0,5.88
