stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0.37,0
3Month,0,0,0,0,0,0,0.52,0,0.1,0,0,0.1,0,0,0,0,0,0.1
22Month,0.27,0.41,0,0.14,0.14,0.41,4.37,0,0.27,0,0.27,0.41,0.27,0.14,0.14,0,0,0
