stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,0,0.28,0,0,0,0,0,0,0,0,0,0,1.97,0,1.97,0,1.69,1.41,0.56,0,0.85,0,0,0,0,0,0,0,0
21Day,15.91,0,0.37,0.37,0,0,0,0,0,0,0,0,0,1.85,0,6.29,0,0,0,0,0,1.11,0.37,0,0,0.37,0,0,0,0
3Month,1.77,0.1,0.83,0,0.42,0.21,0.1,3.22,0.42,0.42,0.21,0.31,0.62,1.35,0,19.56,0.1,0,0,0.21,0,0,0.1,0.94,0.21,0,0.21,0.1,0.1,0.42
22Month,0.41,0.27,0.55,0,0.14,0.55,0.82,5.33,0.27,0.96,0,0.14,0.27,2.05,0.14,7.24,0,0.14,0.14,0.96,0.14,0,0.14,0.14,0,0,0,0,0,0.14
