stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,28,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0.56,0,0.85,0,0,0,0,0,0,0,0.56,0,2.25,0,0,2.54,11.56,0.28,0.56,0,0,0.56,0,0.28,0,0,0
21Day,0.74,0,0,0.74,0.37,0.37,0,0,0,0.37,0,0,0,0.74,0,1.85,0,0,1.48,4.44,0,1.11,0.37,0,0.74,0,0.37,0,0,0.37
3Month,0,0.1,0.1,0.62,0,0,0,0.1,0,7.28,0,0.42,0.1,0,0.21,0.73,0.21,0,0,0.1,0,0,0.21,0.83,0.1,0,0,0.1,0.21,0.1
22Month,0,0.27,0,0.27,0,0,0.14,0,0.14,9.84,0.14,0,0,0,0.14,0.41,0,0.27,0,0,0,0.14,0,0.14,0.14,0.27,0,0,0,0
