stage,Cardiomyocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.56,0,0,0,0,0.28,0.28,0,30.16,0.56,0.85,0,0,0.56,0
21Day,0,0,0,0,0,0,0,0,9.25,0,0,0.37,0,0,0.37
3Month,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.42,0,0
22Month,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0.14,0,0
