stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell
72hpf,0.28,0.28,0,0,0.28,0.56,0.56,0.56,0
21Day,0,0.37,0,0,0,0.37,0.37,0,0
3Month,0,0.83,0,0,0,0.1,0,0,0
22Month,0,0.14,0.68,0.27,0,0,0.27,0,0.14
