stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.85,0,0,0,0,0,0,0,0.28,0.28,5.07,0,0,63.42,3.66,0.28,1.69,0,0,0.85,0.28,0,0,0,0
21Day,0,0,0,0.74,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,17.39,1.11,0,0,0.74,0,2.22,2.59,0.37,0,0,0
3Month,0,0.1,0,0.1,0,0.21,0.52,0.1,0.1,0.21,0.1,0.31,0.1,0.1,0.31,0,0.62,0,0.1,0,0,0.1,0.42,0,0,0.1,1.87,0.21
22Month,0.14,0.27,0.27,0.41,0,0.14,2.6,0,0.14,0.27,0,0.14,0.41,0.68,0,0.27,0.27,0,0.55,0,0.14,0.14,0,0.14,0,0,0,0.14
