stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0.74,0.37,0.37,0,0,0,0
3Month,0,0.83,0.21,2.91,0.31,0.1,0,0.62,0.1,0.83,0.31,1.25,0.31,1.04,0.31,0,0.21,0.31,0.42,0,0.42,0.1,0.1,8.32,0.1,0.52,1.98,0.31
22Month,0,0.27,0,0.96,0,0,0.68,1.37,0,0.55,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0.14,0.14,0,0.14,0.14,0,0,0.14
