stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,15,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0,1.85,0,0,0,0,0,0.37,0,0,0.37,0,1.85,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.21,1.56,0.1,0.21,0,1.35,0.62,0,0.1,0.1,0.31,0.1,0.42,0.1,0.21,0.1,0,0.1,0.1,0.1,3.33,0,0,0.1,16.12,0.21
22Month,0,0.27,0.14,0,0.14,0.27,2.19,0,0,0.41,0,0,0.14,0.14,0,0,0,0,0,0,0,0.55,0,0,0,0,0
