stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,0.85,0,0,0
3Month,0.21,0.1,0,0,0.1,0.1
22Month,0,0,0,0,0.27,0
