stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,1.69,0.28,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0.28,0,2.82,4.23,0,0,7.61,0,0,2.54,0,0,0,0,0
21Day,0.37,0,1.11,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0.74,0,1.85,1.85,0,0,9.62,1.48,0,0.74,0.37,0.37,0,0,0
3Month,0.21,6.55,8.22,0.73,0,0,0.1,1.46,1.98,2.08,1.04,0.1,0.42,0.42,13.11,0.83,58.77,12.59,1.87,0.1,0.31,0.21,0.62,0.21,0.42,0.62,2.91,0.31,0,0.94,0.83,0.94,0.62
22Month,0,0.96,1.37,0.14,0,0.14,0,0.14,0.14,1.37,0.41,0,0,0.14,1.5,0.27,21.04,1.09,0.82,0,0.27,0.14,0,0.14,0,0,0.55,0.14,0,0.14,0,0,0
