stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,2.25,0.28,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,1.11,0.37,0,0.37,0,0,2.59,0,0.37,0,0
3Month,0,0.42,0,0,0.1,0,0.52,0.1,0.1,0.42,0.1,0,0,0,0,0,0,0.1,0.1,0
22Month,0.14,0.27,0.14,0,0,0.14,3.28,0,0,0,0.14,0.14,0.14,0.14,0.27,0,0.14,0,0,0.14
