stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0
72hpf,0.28,0,12.12,0,0,0,0.56,0,0.85,1.13,0.28,0
21Day,0,0,5.92,0,0,0,0.37,0.37,0,1.11,0,0.37
3Month,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0
22Month,0,0,0,0,0.14,0.14,0,0.14,0,0,0,0
