stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Osteoblast
72hpf,0,0,0,0,0.28,0.28
21Day,0,0.74,0.37,0,1.85,0
3Month,0.1,0.21,0,0.21,0.1,0
