stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0.74,0,0,0.74,0,0,1.48,0,0,0,1.48,0,0,0,0,0,0,0,0,4.81
3Month,0.21,0.73,0,0.31,0.1,0.42,0.62,0.1,0.31,0.1,0.1,0.1,1.77,0.73,0,0.21,0.1,0.1,0.21,0.21,0.1,19.14
22Month,0,0.41,0,0.14,0,4.37,1.09,0.14,0,0,0.14,0.14,0.68,0.14,0.14,0.14,0.14,0.14,0,0,0,4.1
