stage,Epithelial_cell,Hatching_gland,Ionocyte,Keratinocyte,Muscle_cell,Neural_progenitor_cell
24hpf,0,1,1,2,0,2
72hpf,0,0,0,1.13,0,0
21Day,1.11,0,0,1.11,0.74,0
