stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4,0,0,0,0,1
72hpf,0.28,0.28,0,0.28,0.85,4.79,1.13,0.56,0.56,0,0.28,0
21Day,0.37,0,0.37,0,1.11,0.37,0,0,0,0.37,0,0
