stage,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
21Day,0,2.59,0,0,0.74,0.74,0,0,0.74,0.37,0,0,0.37
3Month,0.1,0.1,0.73,0.31,0.52,0,0.21,0.1,1.25,0,0,0.1,0.31
22Month,0,0,0.41,0.14,0.55,0.41,0,0,0.41,0,0.14,0,0
