stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0
3Month,0.1,0.62,0.31,0.73,0.1,0.1,0.42,0.1,0.21,0.1,0,0.1,0,0.1,0.31,19.45,0.1,0.42,8.01,0
22Month,0.14,0.27,0.14,2.05,0,0.27,0,0.27,0.14,0,0.14,0,0.14,0,0,6.29,0,0,0,0.14
