stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0
72hpf,0.56,0,0,0.28,0,0.28,0.56,0,0,0,2.82,0.85,0.28,0,0
21Day,0,0.37,1.85,0,0,0,0,0.37,2.22,0.37,1.85,0.37,0,0.37,0.37
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0
