stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,1,0,1,19,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0.28,0.56,0.56,0.56,0.85,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,2.22,0,0.37,0.37,1.48,0.37,0.37,0,0
3Month,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,3.85,0.21,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,1.09,0,0
