stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.28,0,2.54,0.28,0.28,0,0,0.28,0,0,0
21Day,0.37,2.96,0.37,0,0.37,0.74,0,0.37,2.22,1.11,0,2.59,0.74,0,0.37,0,1.85,0.37,0,0
3Month,0,0.31,0,0.1,0,0.31,0.1,0.21,0,0,0.1,0,0,0,0,0.62,0,0,0.1,0.21
