stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
72hpf,0.28,0,0,0,0,0,0,0.28,0,2.82,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37
3Month,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,1.64,0.14,0.27,0.14,0,0.14,0.14,0.14,0,0.14,0
