stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,8.46,0,2.82,2.54,0,0,0,0,0,0,0,0,0.28,7.61,0.56,2.25,0,0.56,1.69,234.78,5.07,0,0,0,3.38,0,0,0.28,0.28,0,0,0
21Day,1.48,2.96,9.99,3.7,0.74,0,0,0,0.37,0,0.37,0.37,0.37,0.37,1.11,0.74,3.33,0,1.11,0,51.06,1.11,0,0,0,1.11,1.48,0.37,0.37,0.37,0,0,1.48
3Month,0,2.6,12.07,3.64,0,0.21,0,5.1,0.73,3.33,3.43,0.1,29.33,0.31,0.83,0.52,0.94,0,1.66,6.24,0.73,0,1.04,0.1,0,0,0.62,4.47,0.21,0,8.43,0.73,2.6
22Month,0,6.56,11.34,2.46,0,0.14,0.14,5.19,1.23,5.6,1.37,0.14,32.52,0,0.41,1.64,0.55,0.27,1.09,1.5,1.23,0,0.96,0,0.55,0,0,6.15,0.14,0,2.32,0,0.27
