stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,27,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0.85,0.28,0,0,0,0,0,0,0,0,1.13,0.56,0.56,2.82,0,0.56,0.28,1.69,4.23,3.66,0,0,0.28,0,0,0,0
21Day,0.74,0,2.22,0.74,1.11,0,0.74,0,0,0.37,0.37,0,0,0.74,0.37,4.44,0,0.74,0,1.48,2.59,1.48,0.37,0,1.11,0.37,0,0,0
3Month,0,0.1,0.62,0,0,0.1,0,0.42,0.1,0,0,0.1,0,0.42,0.42,0.31,0.21,0.21,0.21,0,0,0,0,0.1,0.1,0,0.1,0.1,0
22Month,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
