stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0.56,0.28,0,0,0,0,0
21Day,0,1.11,0,1.11,0,0,0,0.74,6.66,0,0,0.74,2.22,0.37,0,0.37,0,1.48,0,0,0,14.43
3Month,0.21,0.73,0,0,0.1,0.1,0.21,0.31,0,0.62,0,0.1,0,0.21,0.21,0.1,0,0,0.52,0.21,0.52,17.27
22Month,0.14,0.14,0,0,0,0,0.68,0.14,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0,1.91
