stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0.28,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,5.55,0.37,0,0,0,0,0,0.37,0,0.74,3.33,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0
3Month,0.1,30.79,0,0.31,0.1,0,1.56,0.73,0,0.21,1.46,1.04,0,0.31,0.1,0.1,0.21,0.1,0,0.1,0.21,0,0.1,0.1,0,0,0.42,0.21
22Month,0,0.14,0,0,0,0.14,2.05,0.14,0,0.41,0,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
