stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0,0.28,0,2.82,0,0,0,57.78,2.25,0,0,0.56,0,0,3.95,0.85,0,0,0
21Day,0.74,0,0,1.48,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,4.44,0,0,0,21.46,0.74,0,0,0.37,0,0,1.85,0,0,0,0.37
3Month,0.1,0.31,0.1,1.56,0,0.1,0.21,0.31,0.21,0,4.58,0.73,0,0.94,0.62,0.31,0.94,1.66,0.42,0.31,0.31,0.31,0.1,0.21,0.42,0.1,0.52,1.14,0,0,1.04,77.91,0.1
22Month,0.27,0.14,0.14,0.41,0,0,0,0,0.68,0.27,5.88,0.27,0,1.64,0.14,0.14,0.27,0.82,0,0.14,0,0,0,0,0.14,0.14,0,0.14,0,0,0.14,0.14,0.55
