stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,1,0,0,0,0,0,0,0,0,34,1,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,2.96,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.1,0.73,0,0,0,0.1,1.98,0,2.29,0.52,0.1,0.1,0.21,17.58,0.42,0.1,0.1,0.21,0.21,0,0.1,0.31,1.04,0.1,0.31,0.31,0
22Month,0.14,0,0.41,0,0.14,0,0.41,5.6,0.14,5.74,0.14,0.14,0.41,0,25.28,0.14,0,0.55,0,0,0,0,0.27,0.41,0.14,0.27,0,0.14
