stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0,1.41,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.31,0.1,0.1,0.1,0,0,0.31,5.93,0.1
