stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.85,0,2.25,0,0,0,0,0,0,0,0,0,0,0.85,0,1.41,0,0,0.28,4.23,3.38,0,0,0,0.85,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0.74,0.37,0.37,1.85,0,3.33,0,0.37,0.37,0,0,0.37,0,0.37,0,0,2.22,0.37,1.85,0,0.37,0,2.59,2.96,0,0,0,1.11,0,0,0,0,0.37,1.48,0.37,0,0,0.74
3Month,0.21,0.21,0,3.02,0.1,0,0.1,0,0.42,1.04,0,4.06,1.66,0,0.52,1.04,0.73,0.73,0.94,0,0.83,0.73,0.31,0,2.29,0.1,0,0.1,0.1,0.1,9.36,0.1,0,0,0.21,2.08,0.62,0.42
22Month,0,0.41,0,1.23,0,0,0,0,0.41,3.42,1.09,7.79,0.14,0.27,0.96,0.27,0.27,1.91,0.82,0.14,0.55,0,0.14,0.27,0.68,0.14,0.14,0,0,0,1.09,0.41,0.14,0,0,0.41,0,0.55
