stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.28,0.28,0,1.13,0,0,0,0,0,0,0,5.92,0,0.28,2.82,0,6.76,0,0,0,0,1.97,0.85,0,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0.37,0,0,43.29,1.85,0,2.96,0,0,0.37,0,0,1.11,0,13.69,0,0.74,8.14,2.59,12.58,0,0,1.11,0,1.85,0.37,0,0,0,5.92,1.11,0,0.37,0.74,0,0,0
3Month,0,0.73,0.1,65.53,0,0.1,0.31,0,0.42,1.35,0,0,3.85,1.56,9.36,0.52,0.52,6.35,3.33,2.6,0.31,0,0.31,0.21,0.21,0.1,0.21,0,0,0,0.73,1.66,0.21,0,0.1,1.14,0.73
22Month,0,0.41,0,27.33,0,0.55,0.68,0.14,0.14,2.46,0.27,0,5.47,0.68,36.9,0.41,0.14,4.92,11.62,2.46,0.27,0.27,0.27,0,0,0,0.14,0.41,0.14,0.14,0,0.68,0,0,0,0,0.82
