stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0.28,0,0,0,0.85,0.28,0,0,0,0
21Day,0.37,0.37,0,0,0,0.37,0,0.74,0,0,0.37,0,0
3Month,0.31,1.98,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.21,0.1
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0.14,0
