stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell
72hpf,0,0,0.56,0,0,0,0.28,0.28
21Day,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0.21,0.1,0,0.31,0,0.1,0
22Month,0,0,0,0,0.96,0.55,0,0
