stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,5,0,11,0,0,0,0,0,0,0,0,1,1,7,2,0,0,6,750,0,0,0,0,0,0,0,0,1,0
72hpf,6.48,1.69,3.66,1.13,4.79,0,0,0,0,0,0,1.97,8.46,0.85,9.58,0,0.56,445.04,132.19,0.56,0.85,8.74,0.28,0,18.32,1.13,0.28,1.41,0
21Day,2.22,0,3.33,0.37,5.92,0,0.74,1.11,0,0.74,0.74,0.37,1.48,0.74,7.77,0,1.48,148.36,50.32,0.37,0,3.33,3.33,0,10.36,0.74,1.48,0.37,1.11
3Month,0,0.1,0.62,0,0,0.1,0,0.42,0.21,0,0.31,0,0.21,0,0,0,0,0.94,0.21,0.1,0,0,0,0.31,0.21,0,0,0,0
22Month,0,0.14,0.14,0,0,0.14,0,2.87,0.14,0,0.14,0,0.14,0.27,1.09,0.27,0.14,3.42,0,0,0,0,0,0.55,0.96,0,0,0,0.14
