stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0,0,0,0,0.56,0,1.69,0,0,15.78,2.54,1.13,0.56,0,0,1.69,0,0.85,0,0
21Day,0.37,0,2.22,2.96,0,0,0,0,0.74,0,3.33,0.37,1.48,5.55,0.37,1.11,0.37,0.37,0,2.22,0.37,0.74,0,0
3Month,1.04,0.1,0.42,0.31,0.21,1.14,0.21,0.21,0.1,0,0.21,0.62,0.31,1.87,0,4.26,0,0,4.47,0.1,0,0.31,1.66,0.1
22Month,0.27,0,0.14,0,0.14,0.41,0,0.14,0.14,0.14,0.27,0.14,0,0.82,0,2.73,0.14,0,3.14,0.27,0,0,0,0
