stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.85,0,0,46.79,1.97,0,0,0.85,0,0,1.41,0.56,0,0
21Day,0.37,0,0,0.74,0.74,0,0.37,0,0,0,0,0.37,0.37,0,0,1.48,0,0,21.09,2.22,0,0.37,0.37,0,0,0.74,0.74,0,0
3Month,0,0.1,0,0.73,0,0,0.1,0,1.25,0,0.1,0.42,0.1,0.21,0.21,0,0.1,0,0.21,0,0.1,0,0,0.1,0.21,0,0.1,0.21,0.31
22Month,0,0.41,0.14,0.82,0,0,0,0.41,5.33,0.27,0,0.68,0,0.14,0.41,0.55,0,0.14,0,0,0,0.14,0,0,0.27,0,0,0,0.41
